Date,SPY,VIX,DJI,Nasdaq,RUSSELL 2000,DAX,FTSE,CAC,HSI,SSE,Nikkei,ENERGY,FINANCIALS,TECHNOLOGY,HEALTHCARE,CONSUMER STAPLES,INDUSTRIALS,UTLITIES,CONSUMER DISCRETIONARY,MATERIALS,5Y YIELD,10Y YIELD,30Y YIELD
2020-11-23,3577.590087890625,22.65999984741211,29591.26953125,11880.6298828125,1818.300048828125,13126.9697265625,6333.7998046875,5492.14990234375,26486.19921875,3414.489990234375,,38.34000015258789,27.690000534057617,120.08000183105469,108.5199966430664,66.5199966430664,88.11000061035156,63.54999923706055,155.3800048828125,70.33999633789062,0.3880000114440918,0.8569999933242798,1.562000036239624
2020-11-24,3635.409912109375,21.639999389648438,30046.240234375,12036.7900390625,1853.530029296875,13292.4404296875,6432.2001953125,5558.419921875,26588.19921875,3402.822998046875,26165.58984375,40.310001373291016,28.65999984741211,121.75,108.83999633789062,66.97000122070312,89.6500015258789,64.2300033569336,157.69000244140625,72.08999633789062,0.3970000147819519,0.8820000290870667,1.6030000448226929
2020-11-25,3629.64990234375,21.25,29872.470703125,12094.400390625,1845.02001953125,13289.7998046875,6391.10009765625,5571.2900390625,26669.75,3362.326904296875,26296.859375,39.369998931884766,28.559999465942383,122.01000213623047,108.44000244140625,66.93000030517578,88.97000122070312,64.4000015258789,157.8800048828125,71.33999633789062,0.3889999985694885,0.878000020980835,1.6200000047683716
2020-11-27,3638.35009765625,20.84000015258789,29910.369140625,12205.849609375,1855.27001953125,13335.6796875,6367.60009765625,5598.18017578125,26894.6796875,3408.306884765625,26644.7109375,38.90999984741211,28.469999313354492,122.66000366210938,109.44000244140625,66.91999816894531,88.81999969482422,63.7599983215332,158.22000122070312,71.70999908447266,0.367000013589859,0.8420000076293945,1.5740000009536743
2020-11-30,3621.6298828125,20.56999969482422,29638.640625,12198.740234375,1819.8199462890625,13291.16015625,6266.2001953125,5518.5498046875,26341.490234375,3391.760009765625,26433.619140625,36.7599983215332,27.8799991607666,123.4800033569336,109.73999786376953,66.91000366210938,88.02999877929688,62.84000015258789,157.25999450683594,70.98999786376953,0.3619999885559082,0.843999981880188,1.5729999542236328
2020-12-01,3662.449951171875,20.770000457763672,29823.919921875,12355.1103515625,1836.050048828125,13382.2998046875,6384.7001953125,5581.64013671875,26567.6796875,3451.93994140625,26787.5390625,36.93000030517578,28.309999465942383,125.05999755859375,110.66000366210938,67.5,87.80999755859375,63.279998779296875,158.42999267578125,71.7699966430664,0.4269999861717224,0.9340000152587891,1.6759999990463257
2020-12-02,3669.010009765625,21.170000076293945,29883.7890625,12349.3701171875,1838.030029296875,13313.240234375,6463.39990234375,5583.009765625,26532.580078125,3449.381103515625,26800.98046875,38.130001068115234,28.6200008392334,124.87000274658203,111.48999786376953,66.94000244140625,87.93000030517578,63.70000076293945,157.44000244140625,70.8499984741211,0.4230000078678131,0.9480000138282776,1.7039999961853027
2020-12-03,3666.719970703125,21.280000686645508,29969.51953125,12377.1796875,1848.699951171875,13252.8603515625,6490.2998046875,5574.35986328125,26728.5,3442.135986328125,26809.369140625,38.529998779296875,28.6299991607666,124.79000091552734,111.3499984741211,67.11000061035156,88.16000366210938,63.040000915527344,157.8800048828125,70.36000061035156,0.4050000011920929,0.9200000166893005,1.6660000085830688
2020-12-04,3699.1201171875,20.790000915527344,30218.259765625,12464.23046875,1892.449951171875,13298.9599609375,6550.2001953125,5609.14990234375,26835.919921875,3444.5810546875,26751.240234375,40.630001068115234,28.979999542236328,126.04000091552734,112.54000091552734,67.62999725341797,89.20999908447266,62.40999984741211,158.02999877929688,71.77999877929688,0.4230000078678131,0.968999981880188,1.7300000190734863
2020-12-07,3691.9599609375,21.299999237060547,30069.7890625,12519.9501953125,1891.25,13271.0,6555.39990234375,5573.3798828125,26506.849609375,3416.60400390625,26547.439453125,39.68000030517578,28.780000686645508,126.4000015258789,111.8499984741211,67.37000274658203,88.77999877929688,62.7599983215332,157.6699981689453,71.30999755859375,0.3889999985694885,0.9279999732971191,1.6859999895095825
